"MODELO","Temperatura do Motor","Sistema_Eletrico ","Cambio","Bateria ","Score","Status"
"Territory","0.4","0.9","0.4","0","0.425","Ruim"
"Ranger XL CD","0.8","0.7","0","0","0.425","Ruim"
"Bronco Sport","0.9","0.5","0.2","0.1","0.375","Ruim"
"Ranger","0.5","1","1","0.5","0.425","Ruim"
"Bronco Sport","0.5","0.5","0.5","0.4","0.85","Bom"
"Bronco Sport","0.6","0.2","0.3","0.9","0.475","Ruim"
"Marick","0.3","0.9","0.1","0.9","0.5","Ruim"
"Transit Furgão","0.7","0.5","0","0.1","0.55","Ruim"
"Mustang Mach1","0.5","0.2","0.9","0.4","0.325","Ruim"
"Bronco Sport","1","0.4","0.1","0.7","0.5","Ruim"
"Mustang Mach1","0.3","0","0.5","0.7","0.55","Ruim"
"Mustang Mach1","0.9","0.4","0.6","1","0.375","Ruim"
"Mustang Mach1","0.9","1","0.4","0.4","0.6","Ruim"
"Ranger XL","0","0.4","0.1","1","0.525","Ruim"
"Mustang Mach1","0.5","0.5","0.7","0","0.375","Ruim"
"Transit Furgão","0.1","0.4","0.5","0.2","0.425","Ruim"
"Mustang Mach1","0.3","0.6","0.6","0.1","0.3","Ruim"
"Ranger XL CD","0","0.9","0.1","0.4","0.4","Ruim"
"Transit Minibus","0.9","0.2","0.7","0.3","0.35","Ruim"
"Mustang Mach1","0.8","0.2","0.9","0.1","0.525","Ruim"
"Ranger XL CD","0.5","0.8","0.1","0.4","0.5","Ruim"
"Ranger XL","0.1","0.3","0.7","0.9","0.45","Ruim"
"Territory","0.8","0.5","0.5","0.2","0.5","Ruim"
"Marick","0.3","0.4","1","0.8","0.5","Ruim"
"Transit Furgão","0.2","0.1","0.1","0.8","0.175","Ruim"
"Ranger","1","0.1","0","0.9","0.3","Ruim"
"Transit Furgão","0.2","0.3","0.7","0","0.5","Ruim"
"Transit Minibus","0.4","0.4","0.7","0.8","0.3","Ruim"
"Mustang Mach1","0.1","0.5","1","0.4","0.575","Ruim"
"Ranger","0.9","0","0.6","0.9","0.5","Ruim"
"Marick","0.6","1","0.3","0.6","0.6","Ruim"
"Transit Furgão","0.6","0.2","0.9","0.8","0.275","Ruim"
"Marick","1","0.2","0.8","0.4","0.45","Ruim"
"Bronco Sport","0.9","0.1","0","0.9","0.6","Ruim"
"Marick","0.6","0.7","1","0.1","0.475","Ruim"
"Bronco Sport","0.7","0","0","0.6","0.6","Ruim"
"Transit Minibus","0.5","0.6","0","0.6","0.325","Ruim"
"Marick","0","0.1","1","0.9","0.425","Ruim"
"Marick","0.1","0.8","0.1","0","0.5","Ruim"
"Ranger","0.6","0.4","0.8","0","0.25","Ruim"
"Bronco Sport","0.8","0","0.6","0.3","0.45","Ruim"
"Bronco Sport","0.6","0","0.6","0.9","0.425","Ruim"
"Ranger XL","0.3","0.7","0.5","0.4","0.525","Ruim"
"Bronco Sport","0.7","0.8","0.3","0.5","0.475","Ruim"
"Transit Minibus","0.8","0.3","0.9","0.2","0.575","Ruim"
"Mustang Mach1","1","0.2","0.1","0.2","0.55","Ruim"
"Ranger XL CD","0.5","0.3","0.3","0.8","0.375","Ruim"
"Transit Minibus","1","0.9","0.9","0.9","0.475","Ruim"
"Transit Minibus","0.8","0.6","1","0.9","0.925","Bom"
"Bronco Sport","0.2","0.2","0.1","0.9","0.825","Bom"
"Ranger XL CD","0.8","0.5","0.8","0.9","0.35","Ruim"
"Transit Furgão","0","0.2","0.2","0","0.875","Bom"
"Mustang Mach1","0","0.2","0.5","0.9","0.1","Ruim"
"Marick","0.6","0.7","0.1","0.5","0.4","Ruim"
"Bronco Sport","0","0","0.6","0.9","0.475","Ruim"
"Bronco Sport","0.3","0.1","0","0.8","0.375","Ruim"
"Ranger","0.1","1","0.5","0.5","0.3","Ruim"
"Mustang Mach1","0.1","0.5","0.7","0.7","0.525","Ruim"
"Territory","0.6","0.4","0.2","0.5","0.5","Ruim"
"Ranger XL","0.2","0.8","0.1","0","0.425","Ruim"
"Mustang Mach1","0.4","0","0.8","0.9","0.275","Ruim"
"Transit Furgão","0.5","0.1","0.6","0.1","0.525","Ruim"
"Ranger XL","0.3","0.1","0.3","0","0.325","Ruim"
"Mustang Mach1","0.9","0.6","0.1","1","0.175","Ruim"
"Territory","0.7","0.6","0.1","0.6","0.3","Ruim"
"Ranger XL","0.9","0.2","0","0.7","0.5","Ruim"
